"card","reports","age","income","share","expenditure","owner","selfemp","dependents","months","majorcards","active","S","Z","D1","D2","Y"
"yes",0,37.66667,4.52,0.03326991,124.9833,"yes","no",3,54,1,12,1,0,0,0,4.17489290477857
"yes",0,33.25,2.42,0.005216942,9.854167,"no","no",3,34,1,13,5,1,1,1,0.873038451133803
"yes",0,33.66667,4.5,0.004155556,15,"yes","no",4,58,1,5,2,0,0,0,-2.00087576772941
"yes",0,30.5,2.54,0.06521378,137.8692,"no","no",0,25,1,7,1,1,0,0,3.07116826673954
"yes",0,32.16667,9.7867,0.06705059,546.5033,"yes","no",2,64,1,5,4,1,0,1,2.38461201451161
"yes",0,23.25,2.5,0.0444384,91.99667,"no","no",0,54,1,1,5,1,1,1,-2.72495223349286
"yes",0,27.91667,3.96,0.01257576,40.83333,"no","no",2,7,1,5,3,0,0,0,1.37408934943211
"yes",0,29.16667,2.37,0.07643376,150.79,"yes","no",0,77,1,3,2,0,0,0,-1.80795998549331
"yes",0,37,3.8,0.2456279,777.8217,"yes","no",0,97,1,6,1,0,0,0,3.88658108669717
"yes",0,28.41667,3.2,0.01978,52.58,"no","no",0,65,1,18,4,1,0,1,-0.455009766767852
"yes",0,30.5,3.95,0.07802456,256.6642,"yes","no",1,24,1,20,5,1,1,1,2.75145338670204
"no",0,42,1.98,0.0006060606,0,"yes","no",2,36,1,0,4,0,0,1,-2.9632367240874
"no",0,30,1.73,0.0006936416,0,"yes","no",1,42,0,12,2,0,0,0,-0.712831494679337
"yes",0,28.83333,2.45,0.03879551,78.87417,"yes","no",0,26,1,3,2,1,0,1,-3.19891453429094
"yes",0,35.33333,1.908,0.02690671,42.615,"yes","no",2,120,0,5,5,0,1,1,0.639256822881533
"yes",0,41.16667,3.2,0.1258194,335.435,"yes","no",1,168,1,22,2,0,0,0,-0.979341683368414
"yes",0,40.08333,4,0.07481575,248.7192,"yes","no",2,96,1,0,4,1,0,1,-3.77071697343814
"no",7,29.5,3,4e-04,0,"yes","no",2,60,1,8,4,1,0,1,2.37520672739389
"yes",0,39.5,9.9999,0.06579486,548.035,"yes","yes",0,28,1,0,1,0,0,0,2.88589537230572
"no",3,45.75,3.4,0.0003529412,0,"no","no",0,28,1,10,4,0,0,1,-2.16716839553385
"yes",0,35.25,2.35,0.02238596,43.33917,"yes","no",2,115,1,1,4,1,0,1,-6.48406593882164
"no",1,25.16667,1.875,0.00064,0,"no","no",2,7,0,2,1,0,0,0,2.47873623403867
"yes",0,34.25,2,0.131112,218.52,"yes","no",0,12,1,0,4,1,0,1,-6.91925061535491
"yes",1,35.75,4,0.05119225,170.6408,"no","no",2,18,1,22,4,0,0,1,-1.0315064847444
